what,kind,bundleId,bundleVersion,description,time
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1387118264542
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_vertical_margin",1387118264671
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1387118264898
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1387118265748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387118269589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1387118269614
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1387118270193
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1387118270300
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1387118272252
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1387118273133
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1387118273430
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1387118283649
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1387118284957
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1387118285047
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387118285210
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1387118285734
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387118285930
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1387118300525
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1387118307286
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1387118311440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387118315280
error,log,,,"Warning: Ignoring name conflict in resource file for name action_settings",1387118343309
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1387118343443
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1387118343679
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_vertical_margin",1387118343888
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1387118344002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387118344470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1387118344495
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1387118345234
