what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661768758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661772702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1390661773533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390661774311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390661776596
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390661781121
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390661781121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661782898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661798689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1390661799286
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390661800388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390661803428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661809959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661822200
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390661822305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661828213
error,log,,,"[main manifest:16, library:4] Trying to merge incompatible /manifest/application/activity[@name=com.example.androidhive.AllProductsActivity] element:\n  <activity\n--    @android:label=""All Products""\n  <activity\n++    @android:label=""@string/title_activity_all_products""\n",1390661882737
error,log,,,"Warning: Ignoring name conflict in resource file for name action_settings",1390661882844
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1390661882858
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1390661882889
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_vertical_margin",1390661882901
error,log,,,"Warning: Ignoring name conflict in resource file for name activity_horizontal_margin",1390661882938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661883657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1390661883684
error,log,,,"Parser exception for C:\\Users\\Brian\\CS211\\androidhive\\AndroidManifest.xml: The markup in the document preceding the root element must be well-formed.",1390661887890
error,log,,,"Malformed manifest",1390661888273
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390661888974
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390661889520
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390661889665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390661889865
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1390661890107
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390661894528
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390661902824
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390661903153
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390661903395
error,log,,,"Parser exception for /androidhive/AndroidManifest.xml: The markup in the document preceding the root element must be well-formed.",1390661908821
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1390661909033
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390661911929
error,log,,,"Malformed manifest",1390661920665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390661920672
error,log,,,"Parser exception for C:\\Users\\Brian\\CS211\\androidhive\\AndroidManifest.xml: Content is not allowed in trailing section.",1390661920807
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1390661921005
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390661922344
error,log,,,"Malformed manifest",1390661925860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390661925868
error,log,,,"Parser exception for C:\\Users\\Brian\\CS211\\androidhive\\AndroidManifest.xml: The markup in the document following the root element must be well-formed.",1390661926008
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1390661926215
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390661927382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390661951426
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390661955752
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1390661960457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390661964425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662009585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1390662009609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662010815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662043454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662056188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662078395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1390662078426
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390662087164
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390662087279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662090069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662100806
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390662100939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1390662102607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390662103395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390662105709
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390662109084
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390662109084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390662110083
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390662111869
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1390662113372
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1390662113372
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390662114627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662116493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390662126373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1390662127340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390662128768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390662131914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390662144832
