what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101177155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384101217976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101224752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101226530
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101227060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101228840
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101321021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384101404324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101447922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101450208
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101450801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101452831
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1384101468324
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384101468929
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1384101469035
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1384101495939
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101501436
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384101539516
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101555164
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1384101570725
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101592519
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1384101601689
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1384101601783
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1384101615202
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1384101615287
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1384101629639
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101629680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384101648975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384101649132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384101650281
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1384101654597
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101656814
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101682364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101698693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101700510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101701106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101702986
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384101918195
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1384101937027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384101939535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101969522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101971425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101971920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101973567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101982545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384101984951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384102187947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102194729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102196455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102197174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102198560
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384102234334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384102243037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102246768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102249396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102250100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102251583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102300046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102300193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102300542
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384102312320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102315914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384102317353
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384102318672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384102320134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102328908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102330737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102331521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102340157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384102396710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102403165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102404990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102405673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102407126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384102446611
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384102448643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102454166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102455787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102456490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384102458151
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384102492462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102506704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102506841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102506974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102507110
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1384102507222
