what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1390653795738
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1390653795741
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1390653795745
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1390653795748
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1390653795751
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1390653795754
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1390653795756
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1390653795759
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1390653795816
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1390653795820
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1390653795823
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1390653795823
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1390653795825
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1390653795828
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1390653795831
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1390653795949
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1390653795952
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1390653795954
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1390653795968
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1390653795972
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1390653795974
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1390653795974
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1390653796012
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1390653796013
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1390653796015
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1390653796016
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1390653796055
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1390653796056
os,sysinfo,,,"win32",1390653796065
arch,sysinfo,,,"x86_64",1390653796065
ws,sysinfo,,,"win32",1390653796065
locale,sysinfo,,,"en_US",1390653796065
processors,sysinfo,,,"4",1390653796065
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1390653796065
java.runtime.version,sysinfo,,,"1.7.0-b147",1390653796065
java.specification.name,sysinfo,,,"Java Platform API Specification",1390653796065
java.specification.vendor,sysinfo,,,"Oracle Corporation",1390653796065
java.specification.version,sysinfo,,,"1.7",1390653796065
java.vendor,sysinfo,,,"Oracle Corporation",1390653796065
java.version,sysinfo,,,"1.7.0",1390653796065
java.vm.info,sysinfo,,,"mixed mode",1390653796065
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1390653796065
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390653796065
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1390653796065
java.vm.specification.version,sysinfo,,,"1.7",1390653796065
java.vm.vendor,sysinfo,,,"Oracle Corporation",1390653796065
java.vm.version,sysinfo,,,"21.0-b17",1390653796065
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1390653796090
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1390653796628
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1390653797313
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1390656058763
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1390656058765
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1390656058766
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1390656058769
