what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1384116092125
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1384116092184
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1384116092186
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1384116092187
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1384116092189
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1384116092205
started,bundle,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.adt",1384116092206
started,bundle,com.android.ide.eclipse.base,22.3.0.v201310242005-887826,"com.android.ide.eclipse.base",1384116092207
started,bundle,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms",1384116092209
os,sysinfo,,,"win32",1384116092219
arch,sysinfo,,,"x86_64",1384116092219
ws,sysinfo,,,"win32",1384116092219
locale,sysinfo,,,"en_US",1384116092219
processors,sysinfo,,,"4",1384116092219
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384116092219
java.runtime.version,sysinfo,,,"1.7.0-b147",1384116092219
java.specification.name,sysinfo,,,"Java Platform API Specification",1384116092219
java.specification.vendor,sysinfo,,,"Oracle Corporation",1384116092219
java.specification.version,sysinfo,,,"1.7",1384116092219
java.vendor,sysinfo,,,"Oracle Corporation",1384116092219
java.version,sysinfo,,,"1.7.0",1384116092219
java.vm.info,sysinfo,,,"mixed mode",1384116092219
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1384116092219
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384116092219
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1384116092219
java.vm.specification.version,sysinfo,,,"1.7",1384116092219
java.vm.vendor,sysinfo,,,"Oracle Corporation",1384116092219
java.vm.version,sysinfo,,,"21.0-b17",1384116092219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384116092237
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1384116092469
