what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1380880012973
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1380880012975
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1380880012975
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1380880012977
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1380880013009
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1380880013012
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1380880013014
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1380880013018
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1380880013052
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1380880013055
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1380880013058
os,sysinfo,,,"win32",1380880013068
arch,sysinfo,,,"x86_64",1380880013068
ws,sysinfo,,,"win32",1380880013068
locale,sysinfo,,,"en_US",1380880013068
processors,sysinfo,,,"4",1380880013069
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380880013069
java.runtime.version,sysinfo,,,"1.7.0-b147",1380880013069
java.specification.name,sysinfo,,,"Java Platform API Specification",1380880013069
java.specification.vendor,sysinfo,,,"Oracle Corporation",1380880013069
java.specification.version,sysinfo,,,"1.7",1380880013069
java.vendor,sysinfo,,,"Oracle Corporation",1380880013069
java.version,sysinfo,,,"1.7.0",1380880013069
java.vm.info,sysinfo,,,"mixed mode",1380880013069
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1380880013069
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380880013069
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1380880013069
java.vm.specification.version,sysinfo,,,"1.7",1380880013069
java.vm.vendor,sysinfo,,,"Oracle Corporation",1380880013069
java.vm.version,sysinfo,,,"21.0-b17",1380880013069
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1380880013461
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1380880013484
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1380880013581
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1380880013733
