what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089383438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089731884
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1382089731997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089743890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089757238
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1382089757268
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1382089767685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089774794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089800678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089803881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089815553
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1382089815569
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1382089825520
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1382089825758
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1382089845342
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1382089845447
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1382089848122
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1382089871798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1382089878858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382089890095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090244030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090246845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090254455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090255970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090268293
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1382090273030
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1382090273068
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1382090273136
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1382090273190
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1382090273253
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1382090273318
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1382090273401
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1382090273412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090273487
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1382090298270
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1382090300864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090304562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090308591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090308752
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1382090313537
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1382090320400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090323658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090352575
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1382090352716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090368160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382090379526
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1382090379566
